Name,What do you think is causing the UMEs in the Indian River lagoon,Species selected,Why do you think [species] is the most important to focus on?,Hypothesis?,Rationale for choosin hypothesis,How can I test my hypothesis?,Test1,Test1look_for,Test1conclusion_text,Test2,Test2look_for,Test2conclusion_text,Test3,Test3look_for,Test3conclusion_text,Test4,Test4look_for,Test4conclusion_text,Test5,Test5look_for,Test5conclusion_text,What observations did you make that supported your hypothesis?,What observations did you make that would support another hypothesis?,Do you think your hypothesis was supported or refuted?,Why?,What can you conclude about the cause of the UME in [species]?,Do you think this is specific to [species]?,Why is it specific or not to [species]?,Do you think that the cause of the UME is the same or different in the Indian River Lagoon and along the East Coast?,Why is it the same or different?
ja (97),has been declared for bottlenose dolphins in the Indian River Lagoon (IRL) System along the east coast of Florida from January 2013 through the present. Elevated strandings of bottlenose dolphins have occurred in the northern and central Indian River Lagoon system in Brevard County.,Bottlenose Dolphins,They are important to the ecosystem in the sense that they are apex-or top- level predators which controls population,that dolphins are coming extinct,c,test it out,Look for Invasive Species,You will have to  for a plant that is not native, Do you think invasive species are contributing to the UME? Why?yes because tghey has a tendency to spread,Look for Invasive Species,how it has a tendency to spread, Do you think invasive species are contributing to the UME? Why?yes because it has a tendency to spread,Analyze Water Quality,how it has a tendency to spread," Do you think water quality is contributing to the UME?yes because  Nutrients from agriculture or septic system failure result in algal blooms-after these algae die, they are eaten by bacteria i",Look for Invasive Species,how it has a tendency to spread," Do you think invasive species are contributing to the UME? Why?yes because  Nutrients from agriculture or septic system failure result in algal blooms-after these algae die, they are eaten by bacteria i",Look for Invasive Species,how it has a tendency to spread," Do you think invasive species are contributing to the UME? Why?yes because  Nutrients from agriculture or septic system failure result in algal blooms-after these algae die, they are eaten by bacteria i",,that dolphins are coming extinct,that dolphins are coming extinct,that dolphins are coming extinct,that dolphins are coming extinct,that dolphins are coming extinct,that dolphins are coming extinct,that dolphins are coming extinct,that dolphins are coming extinct,that dolphins are coming extinct
205287 (98),pollution to their environment is causing the mortality events,Manatees,the manatee are not far from becoming instinct in the Florida area,what have change in the manatee habitats over the years,this could be the cause of the manatee deaths,by doing resource in the manatee habatits,Seagrass Examination,the growth of the seagrass in the lagoon,"
                                                              What does this graph tell you:the amount of sea grass have raised since 1986-2009, and it seems to just suddenly decrease in the year of 2009
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?no, 
                                                              Why?the reason the sea grass haven't grown is something in that environment that have stopped its growth, which could be the cause of the unusual mortality
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?the seagrass have been polluted by something in that area, which have been affected the manatees
                                                              How would you test to see if that is the cause?i would go pull samples of seagrass and run some test on it ,to see if there is something that should not be there",Analyze Water Quality,is the water safe enough to have as an habitat , Do you think water quality is contributing to the UME?yes,,,,,,,,,,,that the growth sea grass have dcreased,the water quailty have also change over the years,supported,there where things that change in the environment the manatees  have been living in that help supported my hypothesis,the sea grass that the manatees usually eat everyday was decreasing because there was something decreasing its growth,yes what i have concluded ia specific,its specfic because  i knew that something in its habitat could be causing their deaths,it could be the same,because there is something in the eniviroment always killing the species
silly girls (99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silly girlss (100),i think that pollution in water is causing unusual mortality in the Indian River lagoon. It's also stopping the animals from living there.,Bottlenose Dolphins,Because majority of them die everyday and they have the most death rate,i think that they will become more extinct everyday.,because of the information that was given.,research,Investigate Algal Blooms,what's causing it to bloom, Do you think algal blooms are contributing to the UME?yes because they are becoming more populated ,Look for Invasive Species,"identity, the family", Do you think invasive species are contributing to the UME? Why?yes because they are not related to the rest of them and they may be one reason of causing the animals to die,,,,,,,,,,,the hypothesis is correct,more animals would become extinct also,Supported,it showed the different things that caused the dolphins to die.,high death rates,Both,because the dolphins are not living due to the fact of species that's unknown,Same,because the death rates are alike in animals
122803 (101),I believe that the toxins that are dumped in the water is a major contribution to the death of the sea creatures. It's basically suffocating the animals and poisoning them.,Bottlenose Dolphins,"They are the most important on focus on because they are a major contribution to the sea life. They are both predator and prey, so when they are dying by unofficial 'nature', it throws the eating system off. Other animals start to die out due to starvation, while other animals bloom in population.",Bottlenose dolphins are dying out due to the bio-toxins that are dumped into the streams.,Bio-toxins are a major contribution to the extinction of wildlife.,Experiment in a concealed part of the estuary with the dolphins and the toxins.,Necropsy of Affected Dolphins,Behavior changes as well as eating habits., Conclusions:The blood tests showed that the dangerous toxins/poisons created by industrial waste wasn't present in the blood.,Look for Invasive Species,mutated sea creatures," Do you think invasive species are contributing to the UME? Why?I do believe that because the foreign and wild animals are contributing to the U.M.E. The wild animals don't belong in that specific region, therefore they mess up the flow and attack other animals.",Analyze Water Quality,"clear, shallow, livable.", Do you think water quality is contributing to the UME?The water could be contributing to the U.M.E. because it can be getting deprived of oxygen and have too much salt.,,,,,,,,I actually didn't make any observations that contributed to my hypothesis.,The water's salinity and oxygen levels.,Refuted,It was refuted because the dangerous bio-toxins didn't affect the dolphins at all.,It has to deal with the water and other unidentified causes.,I believe it's specific to other species as well.,It's not because dolphins aren't the only species the live in an estuary.,same,same
1037913 (102),some of the organisms can not survive in salt and fresh water.,Bottlenose Dolphins,dolphins are beautiful mammals. people actually pay lump somes of money just to be around them.,"if you cut off the fresh water flowing into lagoon, than the dolphins will have a better chance at living",dolphins live in salt water so the fresh water throws there bodies off ,use 2 dolphins. put one in fresh water and one in salt water and see who lives longer ,,,,,,,,,,,,,,,,,,,,,,,,,
1015306 (103),The mixture of the water and also people around that area can be dumping toxic in the water. ,Manatees,Their are so many of them dying ,What are killing the manatees? ,"It`s stickinhg out , why are they dying?",To examine a manatees that has died,Necropsy of Affected Manatees,"Organs that look damaged , test for toxic in blood , and etc ", Conclusions:That Gracilaria was found in the GI Tract ,Seagrass Examination,Any particles on the seagrass that can be harmful,"
                                                              What does this graph tell you:In 2011, the seagrass started to decreased , but fom 1986 to 2009 the sea was up and down.
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?Yes
                                                              Why?Their was a lot of manatees to feed seagreen to and it started to decrease.
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?They probably was not getting enough to eat. 
                                                              How would you test to see if that is the cause?Take 2 manatees and feed one manatees 100 pounds of seagrass and the other 10 pounds of seagrass.",,,,,,,,,,,"It May Have Been the Seagrass , Water , or Possibly Chokng of Things that has came out the water   ",It was true ,Supported ,Cause i had a feeling that it was dealing with the food or etc ,That it was the food they was taking in ,"Both , to manatees and other species ",Some other species are dying the same way too,It can be the same and it also be different ,I believe that it is the same and different 
293508 (104),that the world is comeing to an end,Manatees,fish ,what are brown pelican do for a liveing,that i would be able to determain what goes on in life,i would like to put a brown pelican in the wild and descover,Necropsy of Affected Brown Pelicans,the behavior, What information was the most striking? Is your hypothesis supported/refuted?that my task would be complete,Necropsy of Affected Brown Pelicans,all useable resource , What information was the most striking? Is your hypothesis supported/refuted?that all plans might not lay flat out as suspected,Analyze Water Quality,water, Do you think water quality is contributing to the UME?yes ,Look for Invasive Species,species, Do you think invasive species are contributing to the UME? Why?no i dont no,,,,,,,,,,,,,
2056736 (105),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123 (106),The overpopulation of different animals and the diversity of animals all in one area,Bottlenose Dolphins,Because they are an important factor to the aquatic world,"If more animals come into one habitat at a time, then more dolphins will die out more drastically.",Because different animals have different ways of livivng,By performing an experiment,Look for Invasive Species,Their effects on their habitats, Do you think invasive species are contributing to the UME? Why?Yes because they can bring new species or diseases to the plants/animals that already live there,Look for Invasive Species,What they are doing to each environment, Do you think invasive species are contributing to the UME? Why?Yes because they can bring new species or diseases to the plants/animals that already live there,Analyze Water Quality,Water samples, Do you think water quality is contributing to the UME?Yes,,,,,,,,That different animals and plants can contribute to UME.,That dolphins depend in seagrass for food,Supported,It was supported because different animals took most of the seagrass and left dolphins not enough food to survive,That they depend on seagrass for food,To other affected species,Because many species depend on different things to survive ,Same,they both died because of lack of food
2054576 (107),unfortunaly there isnt enough source for me personaly to answer this,Manatees,the wings ,that the birds are dying,because its a topic,research,Necropsy of Affected Brown Pelicans,whats making the pelicans brown, What information was the most striking? Is your hypothesis supported/refuted?refuted,Analyze Water Quality,the kind of water, Do you think water quality is contributing to the UME?yes,,,,,,,,,,,graphs,water measurments,neither,i missed understood,that the water is one reason why,neither,i dont know,yes,because its similarity
1037913a (108),completed,Bottlenose Dolphins,completed,completed,completed,completed,Necropsy of Affected Dolphins,completed, Conclusions:morbillvirus,Analyze Water Quality,any abnormal particles in the water, Do you think water quality is contributing to the UME?the water has many issues that can be causing the problem with the plants and organisms,,,,,,,,,,,the water was causing the mortality,"the water temp. needs to controlled,the water needs to cleared, the Ph numbers are off",supported,my hypothesis was that the water was killing off the organisms,the water is causing it ,other species as well ,all of the species that live in the lagoon are dieing or already dead and when the necropsy was conducted nothing was wrong with the animals but a few little diseases but when the test was conducted with the water so much was wrong with it ,their similar,because both the dolphins in the lagoon and the east coast had morbillivirus 
1010318 (109),"ALL people in the area can have food and trash they litter and throw in the indian river lagoon ,which can make the ocean water get infected and poison the animals that live in that area of the lagoon ,also some animals in the area have habitats which can cause more problems for them if the ocean is filled with trash .",Bottlenose Dolphins,"because they live in the ocean and other animals of those answer choices,those type of animals  live on land and the bottlenose dolphin dosent also their skin is sensitive in the water so they have to survive in naturally fresh water not dirty water.",how can a bottlenose dolphin survive alone in the ocean?,i belive that they have some type of sense of surviving in the ocean .,by going out to experiment on how they live in the ocean?,Necropsy of Affected Dolphins,i will look for the dolphins that are affected , Conclusions:genes being missed thats what is confusing ,Look for Invasive Species,i will look forany signs of decrease of an animals population , Do you think invasive species are contributing to the UME? Why?yes i think the species population is probably decreasing,,,,,,,,,,,they have motion sensors in their brains to tell if they are in danger,they are flexible animals,supported,because it gives evidence and information,they love water ,no,they like to swim and always curious to different living things,yes,its a lagoon 
lkasiouwrasrmn (110),gyfyfty,Bottlenose Dolphins,gyugyugy,ftyfty,ftyfty,fftyfty,Necropsy of Affected Dolphins,ftyfty, Conclusions:ftyftyft,,,,,,,,,,,,,,,,,,,,,,
bhjgj (111),fghfgh,Manatees,ghjghjg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frtji8ol9p (112),fghj8k9,Manatees,"vbj,,jh",vvv,   ttt,ghj,Necropsy of Affected Manatees,ghjj, Conclusions:ffhjk,Investigate Algal Blooms,dfh, Do you think algal blooms are contributing to the UME?vbnnn,,,,,,,,,,,fghj,tyyu,bbj,ftyy,fttyrtty,cg,vvbb,fyu,fhui
Demodemo (113),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qweasdweadsas (114),adas,Manatees,asd,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,
akshdkah (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb (32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb1 (33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
